Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,23.58428457322814,0.9872573304879994,0.9757224571109104,0.9533002619996687,2.240878201777313,0.8468374281233665,0.5289074751698902,0.4990747731844165,0.5289074751698902,0.506085425445527,0.9879644165358451
sum_glove-wiki-gigaword-300_class_logistic_reg,23.356931037985785,0.9774702279209885,0.9236666100277641,0.8768040378624208,3.7559853633037115,1.2014636696288552,0.42435964453737585,0.3957462078554627,0.42435964453737585,0.38704440666401035,0.9607535321821036
sum_glove-wiki-gigaword-300_class_svm,23.07640740058327,0.9659447210560184,0.9026605609782444,0.8601350786136134,5.024046001045479,1.2941975953998954,0.4728698379508625,0.42215090070752725,0.4728698379508625,0.4417909693537076,0.9194139194139194
sum_glove-wiki-gigaword-300_linear_reg,23.872787240328552,0.9991406303905824,0.9842411945445954,0.9693081926040451,2.569118394733985,1.2291922703476088,,,,,0.8534798534798534
sum_glove-wiki-gigaword-300_ordinal_logistic_reg,23.758458527003093,0.9944044447650258,0.966801307842576,0.9427719509596081,3.342080501829587,1.313225300575013,0.3053842132775745,0.3330952884762806,0.3053842132775745,0.3861002239857747,0.9309262166405023
sum_word2vec-google-news-300_class_logistic_reg,23.683834741833977,0.991189061330511,0.9696000366545614,0.9442073753116558,1.5500261369576582,0.6987976999477261,0.5476215368531103,0.5393683705541522,0.5476215368531103,0.534876833711733,0.9874411302982732
sum_word2vec-google-news-300_class_svm,23.587904533150734,0.9872421602606377,0.961855615818221,0.9344848955026257,1.9389440669106115,0.7420805018295871,0.5729221118661788,0.544529759785179,0.5729221118661788,0.558670788574813,0.9863945578231292
sum_word2vec-google-news-300_linear_reg,23.877357929125832,0.9993448892653074,0.9888410449559641,0.978069100108408,1.752729711940542,1.0188149778969326,,,,,0.892203035060178
sum_word2vec-google-news-300_ordinal_logistic_reg,23.626086486082958,0.9889615869791719,0.9729711547338992,0.9480377493895986,2.048301097752222,0.8516466283324621,0.49492943021432306,0.4683578871288245,0.49492943021432306,0.4697308553264198,0.9869178440607012
tr_en_eng_bert_regression,23.892892870012744,1.0,0.9998939452753126,0.9997850609342428,0.10026806332890272,0.22850217173026657,,,,,0.998953427524856
