Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
newsela_sum_fasttext-wiki-news-subwords-300_linear_reg,2.596668744916879,0.986977604168994,0.8835978835978836,0.8483245149911816,36.54003109977401,5.920843610988509,,,,,0.7777777777777778
newsela_sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.553708187131546,0.9706485639401494,0.9119680479420975,0.8858170657131014,34.60846560846561,5.532627865961199,0.0,0.0,0.0,0.0,0.9735449735449735
newsela_sum_glove-wiki-gigaword-300_class_logistic_reg,2.40401138177441,0.9137497413266134,0.888296409885176,0.8551558004736992,46.32098765432099,6.148148148148148,0.007054673721340388,0.011739224604721678,0.007054673721340388,0.35185185185185186,0.9894179894179894
newsela_sum_glove-wiki-gigaword-300_class_svm,2.5286035151266373,0.9611064345956357,0.9298277398643657,0.9082147642346132,26.35978835978836,4.204585537918871,0.024691358024691357,0.032391568259574,0.024691358024691357,0.06564748201438848,0.9894179894179894
newsela_sum_glove-wiki-gigaword-300_linear_reg,2.6091984798186236,0.9917400783037501,0.9603174603174603,0.9541446208112875,29.64037986742621,5.307112935821279,,,,,0.9470899470899471
newsela_sum_glove-wiki-gigaword-300_ordinal_logistic_reg,2.575813439021195,0.9790506323950906,0.9430918627086272,0.9281462537928349,37.14109347442681,5.867724867724868,0.0,0.0,0.0,0.0,0.9788359788359788
newsela_sum_word2vec-google-news-300_class_logistic_reg,2.4492710671957973,0.930952665638807,0.8460140046503957,0.8133677732464815,46.85890652557319,6.393298059964726,0.0,0.0,0.0,0.0,0.9259259259259259
newsela_sum_word2vec-google-news-300_class_svm,2.409651276228299,0.9158934300534726,0.823628967694045,0.8021326719416696,45.82186948853616,5.9488536155202825,0.005291005291005291,0.008644585388771433,0.005291005291005291,0.02633629421848216,0.8994708994708994
newsela_sum_word2vec-google-news-300_linear_reg,2.6049817451436383,0.9901373237378933,0.9153439153439153,0.8906525573192239,36.39363509268722,5.892196732721269,,,,,0.8412698412698413
newsela_sum_word2vec-google-news-300_ordinal_logistic_reg,2.5706830767479487,0.9771006136740349,0.915739514144359,0.8896395596949352,35.11816578483245,5.555555555555555,0.0,0.0,0.0,0.0,0.9365079365079365
newsela_word2vec-google-news-300_pairwiseSVM,2.600132495011362,0.9882941539893688,0.8968253968253969,0.8659611992945325,1.9417989417989419,1.0105820105820107,0.3897707231040564,0.3897707231040564,0.3897707231040564,0.3897707231040564,0.8095238095238095
sum_fasttext-wiki-news-subwords-300_class_logistic_reg,2.5607611847505956,0.9733293643718125,0.9078481109154077,0.9023753128096935,0.18165784832451498,0.12169312169312169,0.908289241622575,0.9083086497091577,0.908289241622575,0.9092676017274853,0.9312169312169312
sum_fasttext-wiki-news-subwords-300_class_svm,2.4872217318310956,0.9453774767094104,0.9157997441614925,0.8893220715651368,0.43915343915343913,0.3439153439153439,0.7037037037037037,0.7029376073548878,0.7037037037037037,0.7251617415632104,0.9947089947089947
sum_fasttext-wiki-news-subwords-300_linear_reg,2.5952782165722135,0.9864490730127449,0.9312169312169312,0.9188712522045857,1.3915347539865486,0.9304956913442637,,,,,0.8994708994708994
sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.5124167556784123,0.9549539482260351,0.9076590080308394,0.8777709252724782,0.3968253968253968,0.3368606701940035,0.6931216931216931,0.683385065337373,0.6931216931216931,0.6844407012796382,0.9947089947089947
sum_glove-wiki-gigaword-300_class_logistic_reg,2.468984325453547,0.938445552224239,0.8615306211465298,0.8370645761209249,0.3915343915343915,0.30335097001763667,0.7407407407407407,0.7408933942296981,0.7407407407407407,0.7411265966584467,0.9417989417989417
sum_glove-wiki-gigaword-300_class_svm,2.484513480470551,0.9443480872485677,0.8928821182766223,0.8601553312850279,0.47795414462081126,0.400352733686067,0.6384479717813051,0.6402099165621182,0.6384479717813051,0.6596177146349306,0.9841269841269841
sum_glove-wiki-gigaword-300_linear_reg,2.5766342006236114,0.9793625987641287,0.8888888888888888,0.8694885361552027,1.7822541233561653,1.0408260143836188,,,,,0.8465608465608465
sum_glove-wiki-gigaword-300_ordinal_logistic_reg,2.3363653323224023,0.8880378995869478,0.8443817374253827,0.7974858649370071,0.9417989417989417,0.6384479717813051,0.5132275132275133,0.42502447381302005,0.5132275132275133,0.4948551847987755,0.9788359788359788
sum_word2vec-google-news-300_class_logistic_reg,2.4751287237812076,0.9407809997288027,0.8560738030333441,0.8325323255026846,0.3968253968253968,0.30158730158730157,0.746031746031746,0.7469459735138934,0.746031746031746,0.7490654567323436,0.9365079365079365
sum_word2vec-google-news-300_class_svm,2.507000252957323,0.952895169304349,0.9084057102480789,0.8833464843979565,0.3932980599647266,0.32275132275132273,0.7125220458553791,0.7107871234909835,0.7125220458553791,0.7207258883332672,0.9841269841269841
sum_word2vec-google-news-300_linear_reg,2.6003182270030516,0.9883647495616897,0.9312169312169312,0.9153439153439153,1.4393640584481824,0.9329356968676202,,,,,0.8888888888888888
sum_word2vec-google-news-300_ordinal_logistic_reg,2.4852062304894473,0.9446113972126426,0.8921260327422315,0.8568098803615772,0.49206349206349204,0.4074074074074074,0.6349206349206349,0.6140040022536962,0.6349206349206349,0.61783494243789,0.9894179894179894
transread_en_avgfasttext-wiki-news-subwords-300_class_logistic_reg,2.208151320011369,0.8393045527018839,0.6804485315449161,0.6415330278717847,0.8994708994708994,0.6984126984126984,0.4021164021164021,0.32258937585909087,0.4021164021164021,0.2750283818007161,0.9523809523809523
transread_en_avgfasttext-wiki-news-subwords-300_class_svm,2.1624549077381245,0.821935631235542,0.7748648349650241,0.730549572409018,0.6754850088183422,0.6578483245149912,0.3509700176366843,0.22890210183757856,0.3509700176366843,0.29977661227661223,0.9894179894179894
transread_en_avgfasttext-wiki-news-subwords-300_linear_reg,2.593516224244169,0.9857793507118537,0.91005291005291,0.8977072310405645,1.1310827901330152,0.88170197164199,,,,,0.873015873015873
transread_en_avgfasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.208151320011369,0.8393045527018839,0.6804485315449161,0.6415330278717847,0.8994708994708994,0.6984126984126984,0.4021164021164021,0.32258937585909087,0.4021164021164021,0.2750283818007161,0.9523809523809523
transread_en_avgglove-wiki-gigaword-300_class_logistic_reg,2.2297269790533165,0.8475053262165163,0.8660254037844387,0.8164965809277259,1.3580246913580247,0.8712522045855379,0.37213403880070545,0.24375371418236313,0.37213403880070545,0.2311069882498454,1.0
transread_en_avgglove-wiki-gigaword-300_class_svm,2.252685623979621,0.856231764045249,0.8660254037844387,0.816496580927726,1.2698412698412698,0.8289241622574955,0.3915343915343915,0.2707905589190138,0.3915343915343915,0.24927406903780508,1.0
transread_en_avgglove-wiki-gigaword-300_linear_reg,2.527689887528376,0.9607591704404369,0.8174603174603174,0.7918871252204585,1.270051661983514,0.9262925088303666,,,,,0.7724867724867724
transread_en_avgglove-wiki-gigaword-300_ordinal_logistic_reg,2.2297269790533165,0.8475053262165163,0.8660254037844387,0.8164965809277259,1.3580246913580247,0.8712522045855379,0.37213403880070545,0.24375371418236313,0.37213403880070545,0.2311069882498454,1.0
transread_en_avgword2vec-google-news-300_class_logistic_reg,2.2700395200397105,0.8628278717659255,0.8416303219876939,0.7934966772396211,1.1587301587301588,0.7954144620811288,0.3862433862433862,0.28164763378992763,0.3862433862433862,0.24193445243804956,0.9947089947089947
transread_en_avgword2vec-google-news-300_class_svm,2.2969337875000306,0.8730502151879841,0.8279583530686392,0.7806066213265073,1.0493827160493827,0.7319223985890653,0.42680776014109345,0.32216973704928353,0.42680776014109345,0.27400120127102223,0.9841269841269841
transread_en_avgword2vec-google-news-300_linear_reg,2.5967289794784847,0.9870004989504013,0.9126984126984127,0.8977072310405645,1.1263672702385952,0.8745513183205366,,,,,0.8677248677248677
transread_en_avgword2vec-google-news-300_ordinal_logistic_reg,2.2700395200397105,0.8628278717659255,0.8416303219876939,0.7934966772396211,1.1587301587301588,0.7954144620811288,0.3862433862433862,0.28164763378992763,0.3862433862433862,0.24193445243804956,0.9947089947089947
transread_en_fasttext-wiki-news-subwords-300_pairwiseSVM,2.5644759297052455,0.9747413157740145,0.8809523809523809,0.8624338624338624,1.9841269841269842,1.0987654320987654,0.31040564373897706,0.31040564373897706,0.31040564373897706,0.31040564373897706,0.8359788359788359
transread_en_glove-wiki-gigaword-300_pairwiseSVM,2.569892432426335,0.9768000946957003,0.8968253968253969,0.8835978835978836,1.9417989417989419,1.0952380952380953,0.30158730158730157,0.30158730158730157,0.30158730158730157,0.30158730158730157,0.8677248677248677
transread_en_sum_fasttext-wiki-news-subwords-300_class_logistic_reg,2.146802769444473,0.8159863510343495,0.5773502691896258,0.5443310539518174,1.6031746031746033,0.9717813051146384,0.3439153439153439,0.1949023992788295,0.3439153439153439,0.24728823887873247,0.9788359788359788
transread_en_sum_fasttext-wiki-news-subwords-300_class_svm,2.1309297535714573,0.809953116642033,,,1.6666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0
transread_en_sum_fasttext-wiki-news-subwords-300_linear_reg,1.6651305276644301,0.6329057343336646,-0.9126984126984127,-0.8977072310405645,24721436.99964275,4827.140219374325,,,,,0.005291005291005291
transread_en_sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.146802769444473,0.8159863510343495,0.5773502691896258,0.5443310539518174,1.6031746031746033,0.9717813051146384,0.3439153439153439,0.1949023992788295,0.3439153439153439,0.24728823887873247,0.9788359788359788
transread_en_sum_glove-wiki-gigaword-300_class_logistic_reg,2.1309297535714573,0.809953116642033,,,1.6666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0
transread_en_sum_glove-wiki-gigaword-300_class_svm,2.1309297535714573,0.809953116642033,,,1.6666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0
transread_en_sum_glove-wiki-gigaword-300_linear_reg,1.6594630300831734,0.6307515538301512,-0.9391534391534392,-0.9329805996472662,16905609.211841147,3979.837171171584,,,,,0.015873015873015872
transread_en_sum_glove-wiki-gigaword-300_ordinal_logistic_reg,2.1309297535714573,0.809953116642033,,,1.6666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0
transread_en_sum_word2vec-google-news-300_class_logistic_reg,2.1348980075397113,0.811461425240112,0.8660254037844387,0.816496580927726,1.654320987654321,0.9947089947089947,0.3350970017636684,0.17080289951305888,0.3350970017636684,0.22281323877068557,1.0
transread_en_sum_word2vec-google-news-300_class_svm,2.1309297535714573,0.809953116642033,,,1.6666666666666667,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.0
transread_en_sum_word2vec-google-news-300_linear_reg,2.223647843594134,0.8451946847214591,0.19047619047619047,0.1922398589065256,390204.5969962415,574.8448664795511,,,,,0.2962962962962963
transread_en_sum_word2vec-google-news-300_ordinal_logistic_reg,2.1348980075397113,0.811461425240112,0.8660254037844387,0.816496580927726,1.654320987654321,0.9947089947089947,0.3350970017636684,0.17080289951305888,0.3350970017636684,0.22281323877068557,1.0
transread_en_word2vec-google-news-300_pairwiseSVM,2.6088219875283722,0.991596975931009,0.9444444444444444,0.9365079365079365,1.8148148148148149,1.0211640211640212,0.345679012345679,0.345679012345679,0.345679012345679,0.345679012345679,0.9259259259259259
word2vec-google-news-300_han_only_cat,2.1309297535714573,0.809953116642033,,,1.1693121693121693,0.8342151675485009,0.3333333333333333,0.26666487498544256,0.3333333333333333,0.2222222222222222,1.0
word2vec-google-news-300_han_svm,2.5322605396731186,0.9624964468304801,0.8838042308410403,0.8552457900941086,0.3368606701940035,0.2945326278659612,0.7266313932980599,0.7275140416434991,0.7266313932980599,0.7288395681617198,0.9629629629629629
word2vec-google-news-300_pairwiseSVM,2.6156239902872547,0.9941823747808448,0.9656084656084656,0.961199294532628,1.7583774250440918,1.017636684303351,0.3368606701940035,0.3368606701940035,0.3368606701940035,0.3368606701940035,0.9576719576719577
